arm,engine,effort,wall_s,input_tok,cache_write,cache_read,output_tok,reasoning_tok,total_tok,cost_est_usd,exit,notes
dsv4pro,DeepSeek V4-Pro,default,780.7,1499807,0,6018048,35900,,7553755,0.7055,0,"via=local OpenRouter shim (Anthropic wire format);upstream=OR:deepseek/deepseek-v4-pro;billing=token-estimate-at-OR-list (0.435/0.003625/0.87 per MTok, credits-delta cross-check); comparison arm vs dsv4flash; model string carries [1m] per the dsv4flash lesson (bare claude-opus-5 = 200K assumption, autocompact thrash); REAL-BILL $5.54 credits-delta for BOTH legs combined vs $1.26 token-estimate: cache-read billed at ~$0.36/M (near full input rate) - the OR-listed $0.003625/M cache discount did NOT materialize for v4-pro (v4-flash's did, to the cent); treat cost_est as understated ~4.4x | EFFORT LABEL CORRECTED 2026-08-06: this column previously read `high`. It ran at DEFAULT. OpenRouter accepts any effort value for these models - including a nonsense string - with HTTP 200 and applies none, so the tier was requested and never set. First-party APIs (Meta, xAI, Alibaba) reject an invalid value with an error instead. The scores are unchanged; only the label was wrong."
dsv4flash0731,DeepSeek V4-Flash 0731,default,1067.4,4046840,0,6173632,44692,,10265164,0.5964,0,"via=local OpenRouter shim (Anthropic wire format);upstream=OR:deepseek/deepseek-v4-flash-0731 (the Jul 31 re-post-trained revision, providers serve deepseek-v4-flash-20260731); the ORIGINAL dsv4flash arm resolved to the base slug = APRIL snapshot 20260423 (endpoints API verified 2026-08-01) - this arm is the actual new model; billing=token-estimate at OR list (0.14/0.0028/0.28), credits-delta canonical (v4-pro lesson: listed cache discount may not be honored); REAL-BILL both legs combined $1.52 credits-delta vs $1.74 estimate - cache pricing roughly honored for -0731 (unlike v4-pro) | EFFORT LABEL CORRECTED 2026-08-06: this column previously read `high`. It ran at DEFAULT. OpenRouter accepts any effort value for these models - including a nonsense string - with HTTP 200 and applies none, so the tier was requested and never set. First-party APIs (Meta, xAI, Alibaba) reject an invalid value with an error instead. The scores are unchanged; only the label was wrong."
qwen38max,Qwen3.8-Max,xhigh,3987.3,4363264,536552,30169083,62605,,35131504,16.6444,0,"via=local OpenRouter shim (Anthropic wire format);upstream=OR qwen3.8-max slug (announced 2026-08-03, not yet listed - a poller filled the slug and launched the run when OpenRouter listed it); billing=token-estimate at qwencloud list rates (2.0 in / 0.25 implicit-cache / 6.0 out; explicit-cache 2.5 write / 0.17 read NOT modeled - OR path decides which applies), credits-delta canonical per the v4-pro cache-pricing lesson; ctx 1M (991K max input, qwencloud) so the CLI model string MUST carry [1m] (bare claude-opus-5 = 200K assumption = autocompact thrash, dsv4flash lesson) | EFFORT LABEL: requested `high`, ran `xhigh`. QwenCloud documents reasoning_effort for qwen3.8-max as low|medium|xhigh (default xhigh) and explicitly maps OpenAI-standard names onto them - high -> xhigh - erroring on anything outside that set. So this arm ran at its MAXIMUM reasoning tier, not a middle one."
musespark12,Muse Spark 1.2,xhigh,853.3,5471659,0,17053267,43732,,22568658,9.5834,1,"Meta Muse Spark 1.2, effort xhigh (VERIFIED ACTIVE: output_config.effort accepts only low|medium|high|xhigh, `max`/`ultra` are 400-rejected, so Meta validates loudly and cannot silently clamp - the label is honest, unlike grok45max). RUN IS VALID: the agent emitted a success result (11 fixes, BUGS_FOUND.md written) at 853.3s; the account then hit `402 Billing verification failed` on a trailing call, which appended a second, zero-usage error result. exit=1 records that trailing 402, NOT a failed run. Usage here was RECOVERED from the success event after fixing claude_usage() to prefer the newest result carrying non-zero tokens. Billing tier VERIFIED standard from live rate-limit headers (3000 RPM / 4M TPM), so Meta is not training on bench content. Cost is a list-rate ESTIMATE at 1.25/0.15/4.25 per MTok; cache-WRITE rate is unpublished and assumed equal to input - confirm against a real invoice before putting it on a card."
musespark12or,Muse Spark 1.2 (OpenRouter),default,1531.6,1685827,0,23511727,200207,,25397761,9.4923,0,"via=local OpenRouter shim (Anthropic wire format);upstream=openrouter meta/muse-spark-1.2 (ctx 1,048,576; OR list rates identical to Meta direct: 1.25 in / 0.15 cache-read / 4.25 out). Run 2026-08-06 because Meta's OWN endpoint was returning 402 Billing verification failed - this is the SAME MODEL reached by a different serving path. *** EFFORT COLUMN IS A REQUEST, NOT AN ACTIVE SETTING - DO NOT READ THIS AS AN XHIGH ROW. *** Verified 2026-08-06: OpenRouter's dial is INERT for this model. OR accepts ANY effort string including `bogus_zzz` with HTTP 200 (no validation = the grok45max silent-clamp signature), and n=3 replicates on a fixed reasoning prompt are flat-to-inverted - low 1881 mean thinking-tok / high 1815 / xhigh 1795, with within-level spread 808-1430 dwarfing the ~86 between-level gap. By contrast Meta's FIRST-PARTY endpoint 400-REJECTS `ultra`/`max`/`bogus` and separates cleanly (low 1055 / high 1738 / xhigh 1999). So this row measures DEFAULT thinking and is NOT an apples-to-apples companion to the musespark12 (Meta-direct, genuine xhigh) row. Same first-party-real / OR-fake split documented for grok-4.5 the same week. Model string is claude-opus-5[1m] only to give the CLI a proven 1M context assumption (the dsv4flash autocompact-thrash lesson); the proxy rewrites every upstream call to meta/muse-spark-1.2. Billing: token-estimate at OR list, credits-delta canonical per the v4-pro cache-pricing lesson.;openrouter_billed_usd=9.4923 | EFFORT LABEL: requested xhigh, ran DEFAULT - this arm went through OpenRouter, which accepts any effort value (including a nonsense one) with HTTP 200 and applies none. Its Meta first-party sibling (musespark12) is the same model with the tier actually applied."
grok45r3,Grok 4.5 (re-run Aug 6),high,796.2,187765,,186624,348,28,188114,3.2739,0,"SNAPSHOT-not-bill;reconstruct-from-sessions;slug=grok-4.5. THIRD high run - same shape as the gpt56r2 Sol re-run: this tests a SERVING change, not a new model. The grok CLI still lists only grok-4.5 (no 4.6 as of this run). `high` IS the ceiling: grok-4.5 exposes only low/medium/high, the CLI silently clamps unknown values (ACP-verified 2026-08-01) and the first-party API 400-rejects reasoning_effort=max. No thinking-budget parameter exists on this CLI, and `grok agent ... stdio` - the ACP mode this harness drives - has NO --max-turns, so nothing caps rounds (verified 2026-08-06 from its full help). READ THE DELTA CAREFULLY: the first-party n=5 dial probe found default(no param)=medium and medium~=high indistinguishable, so `high` buys little over default on this model; and priors at this same setting are grok45 16/105 and grok45max 13/105, so this is the THIRD point in a variance picture, not a clean before/after. MUST RUN SEQUENTIALLY - two concurrent grok CLI processes race on auth.json and wiped credentials once (2026-08-01), forcing a device re-login.; FLOOR reconstructed from the CLI's session logs (2 sessions, 43 requests, ~5.28M cached-read, 187,528 peak ctx, rates 2/0.5/6 $/MTok); grok CLI reports context occupancy, not cumulative usage - NOT A BILL"
grok46,Grok 4.6,xhigh,1065.2,257974,,257536,611,19,258586,11.2891,0,"SNAPSHOT-not-bill;reconstruct-from-sessions;slug=grok-4.6. EFFORT VERIFIED ACTIVE 2026-08-12 via zero-token ACP session/new readback (evidence: effort-dial-probes/20260812-grok46-acp-readback.{md,json}): grok-4.6's enum is low|medium|high|xhigh; requesting xhigh echoes back ACTIVE xhigh, so the label is honest and xhigh IS the ceiling - a NEW tier vs grok-4.5, which still tops out at high in the same session/new response. The exact string is `xhigh` with NO hyphen: 'x-high', 'max', and garbage values all SILENTLY CLAMP TO HIGH (the CLI validates nothing - only the readback makes a row trustworthy; the hyphenated spelling would have been the grok45max mistake via typo). ctx 500,000 per ACP _meta. Legs run CONCURRENT 2026-08-12 by choice (wall-clock caveat vs sequential baselines; auth.json race risk accepted; repo 2 launch staggered past repo 1's prepare to dodge the WinError5 rename-lock class).; FLOOR reconstructed from the CLI's session logs (4 sessions, 119 requests, ~20.11M cached-read, 258,102 peak ctx, rates 2/0.5/6 $/MTok); grok CLI reports context occupancy, not cumulative usage - NOT A BILL"
gemini37flash,Gemini 3.7 Flash,high,5229.7,3004062,0,25765456,53614,37448,28823132,4.3865,0,"harness=Gemini CLI 0.56.0 headless (-p, --yolo, stream-json), Google first-party API via a local rewriting gateway (--rewrite gemini-3.5-flash=gemini-3.7-flash --thinking-level high --tag gemini37flash). THE PROXY IS NOT OPTIONAL: Gemini CLI 0.56.0 (also 0.57.0-preview.0 + the 08-24 nightly) silently maps EVERY model id ending in 'flash' that is outside its VALID_GEMINI_MODELS set onto its default gemini-3.5-flash (resolveModel(): useGemini3_5Flash && isFlashModel(resolved) -> DEFAULT_GEMINI_FLASH_MODEL); -m gemini-3.7-flash, GEMINI_MODEL, and a customAliases entry all produced 3.5-flash API calls while the init event echoed 3.7 (smoke 2026-08-24). Same class as the grok CLI clamping max->high. The proxy rewrites the model on the wire and logs the served modelVersion per call; the runner refuses to start without it (preflight) and flags MODEL MISMATCH if any served modelVersion differs from the arm model. EFFORT: high IS the ceiling and the label is honest - Google's thinkingLevel enum on gemini-3.7-flash is low|medium|high, xhigh/max are 400-REJECTED (loud validation). Dial VERIFIED ACTIVE 2026-08-24 (effort-dial-probes/20260824-gemini37flash-google-api.txt, n=5): low 1721-2352 / medium 3489-4076 / high 6482-7438 thoughts-tok, non-overlapping + monotonic, within-level <=1.37x, 3.48x between; default(no param)=medium, so high ~1.8x the default's thinking. Per-call readback of thinkingLevel=high + modelVersion=gemini-3.7-flash lives in the proxy JSONL (the gateway's per-call log) and effort-dial-probes/20260824-gemini37flash-gemini-cli-readback.md. BILLING: token-estimate at Google STANDARD list (0.75 in / 0.075 cache-read / 3.75 out incl. thinking, through 2026-12-31 - doubles Jan 1 2027), counted from the API's own usageMetadata via the proxy meter, NOT the CLI's stats; no credits API on Google, so this is an estimate labeled as such. ctx 1,048,576. Bench settings via GEMINI_CLI_SYSTEM_SETTINGS_PATH: auth pinned to gemini-api-key (the base-URL env otherwise auto-selects 'gateway', which the CLI rejects), loop detection OFF for parity (no other harness has that cut), maxSessionTurns unlimited (CLI default), usage stats off. Prompt via -p argv like the codex harness.;meter=cli_stats per leg (prompt 28769518 = 3004062 uncached + 25765456 cached, candidates 16166, thinking 37448 billed as output);wire_readback(BOTH legs, one tag, no per-leg header on this launch)=served{""gemini-3.7-flash"": 498} level{""high"": 498} 498 generate calls/5 non-200 after proxy retries, usageMetadata totals prompt 63045886/cached 57926992/candidates 36587/thoughts 70898;row repaired post-run (the 19:15 in-memory harness fell back to CLI stats and priced output without thinking);HARNESS STALL: the agent's first `npm test` (19:58:45) never returned - the repo 1 suite's keep-alive child (node -e setInterval) outlived vitest and Gemini CLI's shell tool has no timeout (Claude Code's returns after 2 min) - until a manual kill at 20:35:30; wall_s includes ~2205s of that stall (model-side wall ~3025s); the second npm test's keep-alive was swept in 23s by a keep-alive sweeper; the runner now sweeps during every arm"
gemini37flash_agy,Gemini 3.7 Flash (Antigravity CLI),high,541.2,1266750,0,21059430,34753,16088,22360933,2.6598,0,"harness=Antigravity CLI (agy) 1.1.20 headless, Google's CURRENT CLI - Gemini CLI was retired 2026-06-18 (paid API keys kept working, which is what the 08-24 gemini37flash arm used; retest requested publicly). Model slug gemini-3.7-flash-high (effort baked in) + --effort high; --dangerously-skip-permissions; --add-dir <run copy> (without it the agent's workspace is ~/.gemini/antigravity-cli/scratch and it wanders the drive root). Auth = Antigravity Google subscription sign-in (subscription, NO bill): cost is a token-estimate at Google API standard list (0.75 in / 0.075 cache-read / 3.75 out incl. thinking), labeled as such. agy talks to Google's cloudcode backend (daily-cloudcode-pa.googleapis.com), no public API in the path, so there is no wire readback - the served model is what the first-party CLI reports in its init event (same trust level as Codex/grok naming theirs); the harness flags MODEL MISMATCH if init.model differs. usage semantics verified on the smoke 2026-08-25: input_tokens = uncached prompt, cache_read_tokens separate, output_tokens include thinking_tokens, result.usage == sum of step usages.;agy_status=SUCCESS;agy_turns=1;agy_init_model=gemini-3.7-flash-high;thinking_tok=16088"
oxalpha,Ox Alpha (stealth),high,1844.3,394340,0,26288512,46934,,26729786,0.0,0,"via=local OpenRouter shim (--max-retries 40 --backoff-cap 90 --require-reasoning);upstream=OR stealth/ox-alpha, listed 2026-08-20, FREE ($0/$0 on OR, so cost_est_usd=0 is exact, not an estimate; credits-delta ~0). IDENTITY: the wire fingerprint (the stealth-ox-alpha-fingerprint set in phuryn/experiments) puts this at Z.ai GLM on the GLM-5.3 serving stack - tokenizer 172 on the fixed passage, six-for-six special tokens with GLM-5.3, identical supported_parameters and ctx/max-out, listed 2 days after 5.3; the slug carries a ~75-token identity-denial system prompt. Card it as 'Ox Alpha (stealth, fingerprints as Z.ai GLM)', never as a named GLM release. *** EFFORT COLUMN IS A REQUEST, NOT A VERIFIED SETTING *** - OpenRouter's dial is INERT for most models (rule 1) and was NOT probed for this slug (free pool, heavy 429s); the proxy passes the CLI's native thinking param through and only adds reasoning={enabled:true} to side-calls that carry none (the upstream 400s with 'Reasoning is mandatory' otherwise, seen once in the smoke). Report as DEFAULT effort. ctx 1,048,576 (max out 131,072) so the CLI model string MUST carry [1m] - bare claude-opus-5 = 200K assumption = autocompact thrash (dsv4flash lesson). Legs run SEQUENTIALLY: the free pool is shared and 429'd for 10+ minutes at a stretch on 2026-08-24, so two concurrent legs would compete with each other; wall-clock is therefore NOT comparable to the concurrent-leg rows either way, and scores were the point here, times secondary. timeout 6h per leg to absorb throttling.;openrouter_billed_usd=0.0"
glm53,GLM-5.3,high,2033.2,361888,0,37087040,71402,,37520330,10.2767,0,"via=local OpenRouter shim (--max-retries 20 --backoff-cap 60 --require-reasoning);upstream=OR z-ai/glm-5.3 (Z.AI, listed 2026-08-18, ctx 1,048,576 / max out 131,072). *** EFFORT COLUMN IS A REQUEST, NOT A VERIFIED SETTING *** - see effort-dial-probes/20260825-glm53-openrouter.txt: OpenRouter's dial does NOT separate on this model (rule 1), so this row must be reported as DEFAULT effort, exactly like the Kimi / DeepSeek / Muse-OR rows. The first probe was void (max_tokens 6000 truncated the none/low samples at the cap); the re-probe gave it 32K of room. The proxy passes the CLI's native thinking param through and only adds reasoning={enabled:true} to side-calls that carry none or carry thinking:{type:disabled} - GLM's endpoint 400s on reasoning-off the same way ox-alpha does. billing=REAL OpenRouter bill (credits-delta, canonical per the v4-pro cache-pricing lesson); list is 1.40 in / 0.26 cache-read / 4.40 out per MTok, projected ~$17 on the Ox Alpha token shape. ctx 1M so the CLI model string MUST carry [1m] (dsv4flash autocompact lesson). Legs SEQUENTIAL, matching the oxalpha run this one is the natural comparison for: same harness, same proxy, same shape - and ox-alpha's wire fingerprint says it IS a GLM on the 5.3 serving stack, so this arm is the control that tests that claim on behaviour rather than on tokenizer bytes.;openrouter_billed_usd=10.2767"
glm53flash,GLM-5.3 Flash,high,1697.3,304868,0,17845696,40182,,18190746,0.2931,0,"via=local OpenRouter shim (--max-retries 20 --backoff-cap 60 --require-reasoning --provider Z.AI);upstream=OR z-ai/glm-5.3-flash (endpoint z-ai/glm-5.3-flash-20260826, listed 2026-08-26, ctx 1,048,576 / max out 131,072, fp8), PINNED to Z.AI with allow_fallbacks=false - 12 hosts served this slug at 3 price points on launch day and OpenRouter load-balances per request, so an unpinned run is MIXED-PATH (Muse Spark 08-06 lesson); Z.AI is first-party and the only host of z-ai/glm-5.3, so this row and the glm53 row share a serving path. IDENTITY: the named release of the stealth slug benched as oxalpha on 2026-08-25 (16/105, $0) - Same harness, same proxy, same SEQUENTIAL shape as oxalpha and glm53, so the three rows are directly comparable. *** EFFORT COLUMN IS A REQUEST, NOT A VERIFIED SETTING *** - report as DEFAULT unless effort-dial-probes/20260827-glm53flash-openrouter.txt says the OR dial binds (rule 1); the proxy passes the CLI's native thinking param through and adds reasoning={enabled:true} only to side-calls that carry none or thinking:{type:disabled}. billing=REAL OpenRouter bill (credits-delta, canonical); Z.AI list 0.075 in / 0.015 cache-read / 0.25 out per MTok, shown on OR with discount=0.5 (undiscounted 0.15/0.03/0.50 - a launch discount can lapse, the bill is the number and the list is context); projected ~$1 on the glm53 token shape. ctx 1M so the CLI model string MUST carry [1m] (dsv4flash autocompact lesson). timeout 6h per leg.;openrouter_billed_usd=0.2931;keepalive_sweeps=2"
gpt56lunalow,GPT-5.6 Luna (low),low,166.8,1332110,,1238016,4077,981,1336187,0.0485,0,"auth=chatgpt-account;slug=gpt-5.6-luna;official-list-rates-post-20260730-cut. low companion to gpt56lunahigh (13/105, 07-31) and gpt56luna max (33/105, 07-31) for the dial study. Effort is a FIRST-PARTY tier (Codex config model_reasoning_effort, taken at face value like every Codex row; the CLI accepted low on a smoke call 2026-08-27). HARNESS VERSION: extension 26.820.71523 / codex-cli 0.150.0-alpha.8 at run time - NEWER than the Jul 31 Luna rows (26.715); a serving/CLI change is a confound for any dial comparison across dates, say so on the card. Legs SEQUENTIAL (board norm; the Jul 31 Luna legs ran concurrently)."
gpt56lunamedium,GPT-5.6 Luna (medium),medium,457.8,6004393,,5817344,10455,2868,6014848,0.1663,0,"auth=chatgpt-account;slug=gpt-5.6-luna;official-list-rates-post-20260730-cut. medium companion to gpt56lunahigh (13/105, 07-31) and gpt56luna max (33/105, 07-31) for the dial study. Effort is a FIRST-PARTY tier (Codex config model_reasoning_effort, taken at face value like every Codex row; the CLI accepted medium on a smoke call 2026-08-27). HARNESS VERSION: extension 26.820.71523 / codex-cli 0.150.0-alpha.8 at run time - NEWER than the Jul 31 Luna rows (26.715); a serving/CLI change is a confound for any dial comparison across dates, say so on the card. Legs SEQUENTIAL (board norm; the Jul 31 Luna legs ran concurrently).;keepalive_sweeps=1"
grok46low,Grok 4.6 (low),low,461.7,148276,,148096,250,11,148528,2.1517,0,"SNAPSHOT-not-bill;reconstruct-from-sessions;slug=grok-4.6. EFFORT VERIFIED by zero-token ACP readback before launch (effort-dial-probes/20260827-grok46-low-acp-readback.{md,json}); the arm is not launched unless the readback echoes ACTIVE low (the CLI silently clamps unknown values to high - rule 1 as a code path). Low companion to grok46 (xhigh 27/105, 08-12) and grok46medium (23/105, 08-14, unpublished at the time) for the dial study. Legs SEQUENTIAL - the two earlier 4.6 rows ran CONCURRENT legs, so wall-clock is not comparable within the family. CLI grok 1.0.5 (xhigh/medium rows: 1.0.3).; FLOOR reconstructed from the CLI's session logs (1 sessions, 34 requests, ~3.3M cached-read, 148,284 peak ctx, rates 2/0.5/6 $/MTok); grok CLI reports context occupancy, not cumulative usage - NOT A BILL"
grok46medium,Grok 4.6 (medium),medium,561.6,198814,,198528,290,11,199105,6.3041,0,"SNAPSHOT-not-bill;reconstruct-from-sessions;slug=grok-4.6. EFFORT VERIFIED ACTIVE 2026-08-14 via zero-token ACP session/new readback (effort-dial-probes/20260814-grok46-medium-acp-readback.{md,json}): requesting `medium` echoes back ACTIVE medium on CLI grok 1.0.3 - the exact-string rule from the 08-12 probe (unknown values silently clamp to high). Medium companion to grok46 (xhigh, 27/105, 2026-08-12) for the dial comparison. Legs run CONCURRENT by choice alongside an interactive grok session - wall-clock NOT comparable to sequential baselines; repo 2 staggered past repo 1's prepare (WinError5/husk class);; FLOOR reconstructed from the CLI's session logs (3 sessions, 83 requests, ~10.81M cached-read, 198,958 peak ctx, rates 2/0.5/6 $/MTok); grok CLI reports context occupancy, not cumulative usage - NOT A BILL"
opus5medium,Opus 5 (medium),medium,726.7,214,330963,21310865,38902,,21680944,13.6976,0,"medium companion to opus5 (high, 21/105, 07-26) and opus5max (27/105, 08-01) for the dial study. Effort is a FIRST-PARTY tier (Claude Code --effort medium, documented enum low|medium|high|xhigh|max). Legs SEQUENTIAL. Claude Code 2.1.247 at run time - later CLI build than the Jul/Aug Opus rows, a confound for cross-date dial comparisons.;keepalive_sweeps=1"
gpt56terramax,GPT-5.6 Terra (max),max,4196.4,39815030,,38150400,125962,67999,39940992,12.4709,0,"auth=chatgpt-account;slug=gpt-5.6-terra;official-list-rates-post-20260730-cut ($2/$12 per Mtok in/out, $0.20 cache-read - 10x Luna, mid tier between Sol $5 and Luna $0.20). max tier of the Terra dial (max+high+medium). Effort is a FIRST-PARTY Codex tier (model_reasoning_effort, taken at face value like every Codex row; CLI accepted gpt-5.6-terra at max/high on a smoke call 2026-08-27). Legs SEQUENTIAL (board norm). Judge routes to grok (non-sibling) like the other OpenAI arms.;keepalive_sweeps=2"
gpt56terrahigh,GPT-5.6 Terra (high),high,900.3,12866428,,12600576,25688,11553,12892116,3.3601,0,"auth=chatgpt-account;slug=gpt-5.6-terra;official-list-rates-post-20260730-cut ($2/$12 per Mtok in/out, $0.20 cache-read - 10x Luna, mid tier between Sol $5 and Luna $0.20). high tier of the Terra dial (max+high+medium). Effort is a FIRST-PARTY Codex tier (model_reasoning_effort, taken at face value like every Codex row; CLI accepted gpt-5.6-terra at max/high on a smoke call 2026-08-27). Legs SEQUENTIAL (board norm). Judge routes to grok (non-sibling) like the other OpenAI arms.;keepalive_sweeps=2"
gpt56terramedium,GPT-5.6 Terra (medium),medium,650.1,7897447,,7704832,17857,7766,7915304,2.1405,0,"auth=chatgpt-account;slug=gpt-5.6-terra;official-list-rates-post-20260730-cut ($2/$12 per Mtok in/out, $0.20 cache-read - 10x Luna, mid tier between Sol $5 and Luna $0.20). medium tier of the Terra dial (max+high+medium). Effort is a FIRST-PARTY Codex tier (model_reasoning_effort, taken at face value like every Codex row; CLI accepted gpt-5.6-terra at max/high on a smoke call 2026-08-27). Legs SEQUENTIAL (board norm). Judge routes to grok (non-sibling) like the other OpenAI arms.;keepalive_sweeps=2"
gpt56lunaxhigh,GPT-5.6 Luna (xhigh),xhigh,4864.2,54430620,,52405248,133386,64470,54564006,1.6132,0,"Effort xhigh VERIFIED a first-party tier 2026-08-27: the OpenAI API 400-rejects a bogus effort and its error lists the enum none|minimal|low|medium|high|xhigh|max, so xhigh is a real accepted value (cannot silently clamp). Fills the high->xhigh->max dial. Legs SEQUENTIAL. Luna xhigh between high (13/105) and max (33/105). auth=chatgpt-account. Judge routes to grok.;keepalive_sweeps=3"
